0.639,0.396,0.426,0.216,0.276,0.334,0.121,0.061,0.023,1
0.71,0.431,0.345,0.201,0.24,0.282,0.109,0.041,0.021,1
0.75,0.38,0.355,0.192,0.223,0.264,0.088,0.048,0.021,1
0.652,0.432,0.349,0.247,0.321,0.286,0.125,0.069,0.031,1
0.639,0.448,0.415,0.234,0.257,0.284,0.114,0.053,0.025,1
0.611,0.476,0.438,0.233,0.255,0.281,0.091,0.036,0.022,1
0.645,0.485,0.378,0.219,0.278,0.266,0.089,0.039,0.019,1
0.637,0.502,0.408,0.198,0.284,0.222,0.072,0.038,0.019,1
0.707,0.437,0.408,0.183,0.23,0.225,0.07,0.037,0.019,1
0.681,0.463,0.351,0.174,0.228,0.33,0.082,0.038,0.018,1
0.549,0.388,0.397,0.194,0.283,0.507,0.114,0.047,0.027,1
0.472,0.373,0.446,0.222,0.392,0.456,0.146,0.071,0.041,1
0.453,0.419,0.466,0.226,0.388,0.407,0.169,0.069,0.04,1
0.617,0.365,0.406,0.246,0.343,0.362,0.091,0.058,0.026,1
0.604,0.437,0.424,0.256,0.34,0.27,0.085,0.042,0.022,1
0.653,0.409,0.478,0.258,0.257,0.188,0.079,0.044,0.022,1
0.599,0.474,0.477,0.275,0.247,0.205,0.091,0.046,0.022,1
0.636,0.419,0.493,0.219,0.308,0.165,0.076,0.03,0.017,1
0.766,0.402,0.378,0.214,0.216,0.112,0.051,0.021,0.011,1
0.572,0.474,0.473,0.28,0.313,0.202,0.073,0.044,0.022,1
0.62,0.393,0.493,0.287,0.301,0.197,0.066,0.032,0.015,1
0.697,0.431,0.381,0.28,0.29,0.134,0.045,0.03,0.016,1
0.697,0.418,0.411,0.276,0.254,0.153,0.077,0.031,0.015,1
0.707,0.423,0.482,0.173,0.196,0.133,0.049,0.023,0.018,1
0.702,0.499,0.402,0.194,0.204,0.116,0.044,0.026,0.013,1
0.636,0.464,0.454,0.248,0.302,0.132,0.051,0.025,0.01,1
0.619,0.556,0.412,0.257,0.226,0.132,0.047,0.018,0.01,1
0.721,0.487,0.387,0.194,0.205,0.104,0.048,0.026,0.013,1
0.696,0.451,0.452,0.239,0.186,0.117,0.044,0.024,0.01,1
0.652,0.478,0.429,0.277,0.253,0.132,0.055,0.029,0.011,1
0.495,0.408,0.432,0.335,0.489,0.205,0.077,0.045,0.024,1
0.594,0.446,0.439,0.287,0.377,0.16,0.054,0.036,0.021,1
0.611,0.466,0.414,0.326,0.344,0.104,0.038,0.02,0.013,1
0.566,0.46,0.481,0.321,0.327,0.149,0.06,0.034,0.012,1
0.564,0.495,0.465,0.324,0.317,0.111,0.046,0.026,0.017,1
0.618,0.464,0.462,0.29,0.302,0.105,0.043,0.022,0.011,1
0.687,0.504,0.385,0.241,0.237,0.103,0.035,0.015,0.007,1
0.713,0.418,0.37,0.262,0.306,0.114,0.061,0.026,0.01,1
0.595,0.483,0.431,0.263,0.367,0.135,0.059,0.025,0.01,1
0.75,0.413,0.4,0.253,0.181,0.092,0.034,0.016,0.012,1
0.597,0.539,0.446,0.313,0.211,0.103,0.035,0.016,0.008,1
0.63,0.467,0.411,0.296,0.318,0.156,0.046,0.028,0.015,1
